ID,English,Chinese,Author,Description
1,"I may have invented it, but Bill made it famous.",也许我发明了它，但比尔让它变得出名了。,David Bradley,David Bradley编写了 Control+Alt+Del 这个快捷键。由于Windows的一些程序经常会无响应，导致用户需要通过Control+Alt+Del调出任务管理器，结束卡死的程序，或者重启电脑。Control+Alt+Del甚至成为了处理 Windows 问题的标志性操作。
2,"Nvidia, fuck you!",英伟达，去你的！,Linus Torvalds,Torvalds 批评 Nvidia 不愿为 Linux 系统提供足够的硬件支持和开源驱动。这句话在2012年的一次演讲中说出，迅速在开源社区传播，成为呼吁硬件厂商支持开源系统的代表性言论。
3,"The only problem with Microsoft is they just have no taste. They have absolutely no taste. And I don't mean that in a small way, I mean that in a big way, in the sense that they don't think of original ideas, and they don't bring much culture into their products.",微软唯一的问题就是他们毫无品味。他们绝对没有品味。我说的不是小问题，而是大问题，就是说他们不会想出原创的点子，也不会在产品中融入多少文化。,Steve Jobs,源自史蒂夫·乔布斯1996年在PBS纪录片《书呆子的胜利》中的采访。这句话体现了乔布斯对产品设计和用户体验的重视，也反映了苹果和微软在产品理念上的差异。
4,"Stay Hungry, Stay Foolish",求知若饥，虚心若愚,Steve Jobs,出自乔布斯2005年在斯坦福大学的著名毕业演讲。这句话鼓励人们保持好奇心和学习欲望，不要被成功限制住思维。它成为了激励无数人追求创新和自我突破的名言。
5,1000 songs in your pocket,1000首歌在你的口袋里,Steve Jobs,2001年首次发布iPod时的宣传语。这句话帮助重新定义了便携式音乐设备，展示了iPod革命性的存储容量和便携性，对数字音乐产业产生了深远影响。
6,It just works,它就是能用,Steve Jobs,"乔布斯经常在产品发布会上使用这句话。它强调了苹果产品的易用性和无缝集成，成为苹果设计理念的代表性口号，体现了以用户为中心""的产品哲学。"""
7,One more thing...,还有一件事...,Steve Jobs,乔布斯在发布会结束前经常用这句话引出重要新产品。这个习惯性用语成为了苹果发布会的标志性桥段，常常用来制造悬念和惊喜，增加产品发布的戏剧性效果。
8,An Apple a day keeps the doctor away,每天一个苹果，医生远离我,Steve Jobs,"这是对英语谚语一天一个苹果，医生远离我""的巧妙改编。乔布斯曾戏谑地将这句话与苹果公司联系起来，暗示使用苹果产品能让生活更健康、更美好。这个双关语展现了乔布斯的幽默感，也成为了苹果粉丝常用的俏皮话。"""
9,Reality Distortion Field,现实扭曲力场,Bud Tribble,"现实扭曲力场""最初由苹果公司早期员工Bud Tribble创造，用来描述乔布斯令人信服的演讲能力和个人魅力。这个术语暗示乔布斯能够让他人相信几乎不可能的事情。它不仅用来形容乔布斯的领导风格，也被广泛用于描述某些领导者或企业的强大说服力和影响力。"""
10,640K ought to be enough for anybody.,640K对任何人来说都应该足够了。,Bill Gates,这句话被广泛认为是比尔·盖茨在1981年说的，尽管他后来否认过。这个梗讽刺了早期对个人电脑内存需求的低估。
11,Be nice to nerds. Chances are you'll end up working for one.,对书呆子好一点。说不定你最后会为他们工作。,Bill Gates,这句话反映了技术行业的崛起，以及曾经被认为是'书呆子'的人如今在商业世界中的重要地位。
12,I choose a lazy person to do a hard job. Because a lazy person will find an easy way to do it.,我会选择一个懒人去做困难的工作。因为懒人会找到简单的方法去完成它。,Bill Gates,这句话突出了效率和创新的重要性，暗示寻找捷径可能会带来创新的解决方案。
13,Your most unhappy customers are your greatest source of learning.,你最不满意的顾客是你最大的学习源泉。,Bill Gates,这句话强调了负面反馈的价值，以及如何从失败中学习和改进。
14,Success is a lousy teacher. It seduces smart people into thinking they can't lose.,成功是一个糟糕的老师。它诱使聪明人认为他们不会失败。,Bill Gates,这句话警告人们不要因为成功而自满，强调了保持谦逊和持续学习的重要性。
15,"If you can't make it good, at least make it look good.",如果你不能把它做好，至少要让它看起来好。,Bill Gates,这句话经常被用来讽刺微软早期产品的质量问题，尽管可能被断章取义或误解。
16,Premature optimization is the root of all evil.,过早优化是万恶之源。,Donald Knuth,Donald Knuth是计算机科学领域的泰斗级人物。这句话警告程序员不要过早关注程序的优化，而应该首先确保程序的正确性和可读性。这个观点在软件开发中影响深远，提醒开发者要在适当的时候进行优化，同时成功地让无数懒惰的程序员找到了不优化代码的完美理由。
17,"There are 10 types of people in the world: those who understand binary, and those who don't.",世界上有10种人：懂二进制的和不懂的。,Unknown,这是一个经典的程序员双关语。在二进制中，'10'表示十进制的2。这个梗巧妙地将编程知识与幽默感结合在一起，成为程序员群体中广为流传的笑话。
18,"Programs must be written for people to read, and only incidentally for machines to execute.","程序写出来是给人看的,附带能在机器上运行。",Harold Abelson,"Abelson教授可能没想到,他这句话成了程序员们互相吐槽'这代码是人能看懂的吗?'的最佳借口。"
19,Solve one problem at a time.,"在两个问题面前,解决一个问题。",《Unix编程艺术》,"Unix的设计哲学告诉我们:面对复杂问题时,要学会'装傻'。"
